Kelimeler,BoW_Kume2_KelimeSayisi
and,66
between,4
by,35
case,117
cast,45
count,44
date,5
datediff,32
datepart,10
decimal,16
desc,4
else,99
end,122
float,28
from,28
group,19
hour,8
inner,16
join,24
like,6
min,3
month,20
on,25
or,7
order,16
select,28
set,4
sult,3
sum,104
then,192
top,5
weekday,7
when,192
where,15
year,24
