tabloAdlari
LinkType
CopyEditorBadge
Averagetimetofirstanswer
Bountied posts that were closed
wherefrom
Questioner
DownvoteQuestionStatsByMonth
[ZEROES]
ZeroVoteRank
ZombieTagName
somedaysago
reputation re
resposta
charts
VoteCount
NameValues
pergunta
logreputation
userRep
[default]
"TagName,"
Screenshot
OccurredOn
Counts
[custom]
ExcerptPostId
[Up Votes to Down Votes]
[Up Votes]
[Down Votes]
[Ranking]
[Average Question Score]
LateBy
Cleanup edits
postsWithJava
Low score accepted
Downvoted
total answer
received
permalink
ScorePerCharacter
AvgHoursToAnswer
Countx
Anon
AllEditors
SQLSucks
RepMath
PostTimeSliceIds
QuestionScore
QuestionDate
Bounty Answers Provided
DateHistory
Maxrecursion
ChainLinks
percentile 
state
stats
MarkdownMini
 link
SourceTagName
Question Date
Answer Date
TargetTagName
TagSynonyms
Percentage
economy
stackoverf
Rejected
PostHistoryType
ViewsPerPeriod 
SelfAcceptedQuestions
QuestionsWithTargetTag qwtt
Posts p
self
ReviewTaskResultTypes
PostFeedback
TotalBountiesAwarded
AOwnerId
WikiPostId
Questions
postswithdeleted
question
phclo
phedit
phclosed
repper
TotalViews
Posts
PostType
AcceptedAnswer
Parent
CreationDate
DeletionDate
Score
ViewCount
Body
OwnerUser
OwnerDisplayName
LastEditorUser
LastEditorDisplayName
LastEditDate
LastActivityDate
Title
Tags
SelfAcceptedQuestions
unused
reserved
AnswerCount
answers
answer
CommentCount
FavoriteCount
ClosedDate
CommunityOwnedDate
Users
Reputation
CreationDate
DisplayName
LastAccessDate
WebsiteUrl
Location
AboutMe
Views
UpVotes
DownVotes
ProfileImageUrl
EmailHash
Account
Comments
Post
Score
Text
CreationDate
UserDisplayName
User
Badges
User
 Name
Class
TagBased
CloseAsOffTopicReasonTypes
IsUniversal
rnasc
rndesc
frequency
ExcerptPostId
InputTitle
MarkdownInputGuance
MarkdownPostOwnerGuance
MarkdownPrivilegedUserGuance
MarkdownConcensusDescription
CreationDate
CreationModerator
ApprovalDate
ApprovalModerator
DeactivationDate
DeactivationModerator
CloseReasonTypes
 Name
Description
FlagTypes
 Name
Description
PendingFlags
FlagType
Post
CreationDate
CloseReasonType
CloseAsOffTopicReasonType
DuplicateOfQuestion
BelongsOnBaseHostAddress
PostFeedback
Post
Java
view rate
IsAnonymous
VoteType
CreationDate
PostHistory
PostHistoryType
Post
RevisionGU
CreationDate
RepAcumLog10
User
UserDisplayName
Comment
Text
PostHistoryTypes
 Name
PostLinks
CreationDate
Post
RelatedPost
LinkType
PostNotices
Post
PostNoticeType
CreationDate
DeletionDate
ExpiryDate
Body
OwnerUser
DeletionUser
PostNoticeTypes
Class
 Name
Body
IsHden
Predefined
PostNoticeDuration
Ratio
PostsWithDeleted
PostType
AcceptedAnswer
accepted
Parent
CreationDate
DeletionDate
Score
ViewCount
Body
OwnerUser
OwnerDisplayName
LastEditorUser
LastEditorDisplayName
LastEditDate
LastActivityDate
Title
Tags
AnswerCount
CommentCount
FavoriteCount
ClosedDate
CommunityOwnedDate
PostTags
Post
Tag
PostTypes
 Name
ReviewRejectionReasons
 Name
Description
PostType
ReviewTaskResults
ReviewTask
ReviewTaskResultType
CreationDate
RejectionReason
Comment
ReviewTaskResultTypes
 Name
Description
ReviewTasks
ReviewTaskType
CreationDate
DeletionDate
ReviewTaskState
Post
SuggestedEdit
CompletedByReviewTask
ReviewTaskStates
 Name
Description
ReviewTaskTypes
 Name
Description
SuggestedEdits
Post
CreationDate
ApprovalDate
RejectionDate
OwnerUser
Comment
Text
Title
Tags
RevisionGU
SuggestedEditVotes
SuggestedEdit
edits
edit
User
VoteType
CreationDate
TargetUser
TargetRepChange
Tags
TagName
ExcerptPost
WikiPost
TagSynonyms
SourceTagName
TargetTagName
CreationDate
OwnerUser
AutoRenameCount
LastAutoRename
Score
ApprovedByUser
ApprovalDate
Votes
Post
VoteType
User
CreationDate
BountyAmount
VoteTypes
 Name
YearMon
countper
history
data
related
links
ptypes
Ranking
asked
type
WithoutSpaces
FirstWord
.date
Closed
without
scoring
withbountiesands
word
WithBounties
Results
fights
Action
Zero
Series
RoundToMonth
tenure
Age
elements
Vote
pWiki
yours
wiki
your
Characters
Total
years
XMLCol
written
earned
