Kelimeler,BoW_Kume3_KelimeSayisi
and,64
asc,4
between,3
by,30
cast,4
convert,4
count,13
datepart,3
datetime,8
declare,18
desc,11
distinct,4
from,48
group,13
in,4
inner,14
insert,5
int,13
into,4
is,8
join,23
like,6
max,3
month,4
null,22
on,23
or,6
order,17
select,47
sum,6
table,5
top,11
varchar,7
where,31
year,8
